Dependent Variable: ERUS1,,,,
Method: Least Squares,,,,
Date: 04/24/16   Time: 22:12,,,,
Sample: 1980M10 2015M06,,,,
Included observations: 417,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-0.386854,0.112718,-3.432044,0.0007
RMRF,1.007651,0.027122,37.15189,0.0000
SMB,1.134410,0.040615,27.93061,0.0000
HML,-0.384355,0.051549,-7.456177,0.0000
CMA,-0.118350,0.077136,-1.534306,0.1257
RMW,-0.594842,0.053904,-11.03521,0.0000
,,,,
R-squared,0.924032,    Mean dependent var,,0.016043
Adjusted R-squared,0.923108,    S.D. dependent var,,7.777622
S.E. of regression,2.156685,    Akaike info criterion,,4.389306
Sum squared resid,1911.681,    Schwarz criterion,,4.447336
Log likelihood,-909.1703,    Hannan-Quinn criter.,,4.412249
F-statistic,999.8401,    Durbin-Watson stat,,2.174825
Prob(F-statistic),0.000000,,,
,,,,
Dependent Variable: ERUS10,,,,
Method: Least Squares,,,,
Date: 04/24/16   Time: 22:12,,,,
Sample: 1980M10 2015M06,,,,
Included observations: 417,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-0.125189,0.072299,-1.731540,0.0841
RMRF,1.088387,0.017397,62.56233,0.0000
SMB,0.922155,0.026051,35.39753,0.0000
HML,0.754448,0.033064,22.81771,0.0000
CMA,-0.047075,0.049476,-0.951455,0.3419
RMW,0.048180,0.034575,1.393505,0.1642
,,,,
R-squared,0.942351,    Mean dependent var,,0.915132
Adjusted R-squared,0.941649,    S.D. dependent var,,5.726718
S.E. of regression,1.383337,    Akaike info criterion,,3.501159
Sum squared resid,786.4988,    Schwarz criterion,,3.559189
Log likelihood,-723.9917,    Hannan-Quinn criter.,,3.524102
F-statistic,1343.666,    Durbin-Watson stat,,2.040338
Prob(F-statistic),0.000000,,,
,,,,
Dependent Variable: ERUS11,,,,
Method: Least Squares,,,,
Date: 04/24/16   Time: 22:12,,,,
Sample: 1980M10 2015M06,,,,
Included observations: 417,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,0.125486,0.073487,1.707605,0.0885
RMRF,1.025193,0.017683,57.97778,0.0000
SMB,0.708655,0.026479,26.76271,0.0000
HML,-0.407015,0.033607,-12.11099,0.0000
CMA,-0.267011,0.050289,-5.309550,0.0000
RMW,-0.157636,0.035143,-4.485586,0.0000
,,,,
R-squared,0.954411,    Mean dependent var,,0.585731
Adjusted R-squared,0.953857,    S.D. dependent var,,6.545581
S.E. of regression,1.406053,    Akaike info criterion,,3.533734
Sum squared resid,812.5409,    Schwarz criterion,,3.591764
Log likelihood,-730.7835,    Hannan-Quinn criter.,,3.556677
F-statistic,1720.885,    Durbin-Watson stat,,2.066180
Prob(F-statistic),0.000000,,,
,,,,
Dependent Variable: ERUS12,,,,
Method: Least Squares,,,,
Date: 04/24/16   Time: 22:12,,,,
Sample: 1980M10 2015M06,,,,
Included observations: 417,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-0.015330,0.084051,-0.182393,0.8554
RMRF,1.066566,0.020224,52.73636,0.0000
SMB,0.606721,0.030286,20.03322,0.0000
HML,0.132089,0.038438,3.436385,0.0006
CMA,0.005166,0.057518,0.089810,0.9285
RMW,0.215795,0.040195,5.368727,0.0000
,,,,
R-squared,0.909968,    Mean dependent var,,0.851679
Adjusted R-squared,0.908873,    S.D. dependent var,,5.327360
S.E. of regression,1.608182,    Akaike info criterion,,3.802370
Sum squared resid,1062.949,    Schwarz criterion,,3.860400
Log likelihood,-786.7941,    Hannan-Quinn criter.,,3.825313
F-statistic,830.8131,    Durbin-Watson stat,,1.850266
Prob(F-statistic),0.000000,,,
,,,,
Dependent Variable: ERUS13,,,,
Method: Least Squares,,,,
Date: 04/24/16   Time: 22:12,,,,
Sample: 1980M10 2015M06,,,,
Included observations: 417,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-0.065097,0.080150,-0.812184,0.4172
RMRF,1.012712,0.019286,52.51054,0.0000
SMB,0.529906,0.028880,18.34843,0.0000
HML,0.384218,0.036654,10.48215,0.0000
CMA,0.010823,0.054849,0.197327,0.8437
RMW,0.281551,0.038329,7.345568,0.0000
,,,,
R-squared,0.899557,    Mean dependent var,,0.863357
Adjusted R-squared,0.898335,    S.D. dependent var,,4.809624
S.E. of regression,1.533548,    Akaike info criterion,,3.707329
Sum squared resid,966.5768,    Schwarz criterion,,3.765359
Log likelihood,-766.9780,    Hannan-Quinn criter.,,3.730271
F-statistic,736.1725,    Durbin-Watson stat,,2.034404
Prob(F-statistic),0.000000,,,
,,,,
Dependent Variable: ERUS14,,,,
Method: Least Squares,,,,
Date: 04/24/16   Time: 22:12,,,,
Sample: 1980M10 2015M06,,,,
Included observations: 417,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-0.117317,0.082916,-1.414898,0.1579
RMRF,1.032450,0.019951,51.74851,0.0000
SMB,0.474813,0.029877,15.89245,0.0000
HML,0.506032,0.037919,13.34503,0.0000
CMA,0.158288,0.056741,2.789642,0.0055
RMW,0.210457,0.039652,5.307619,0.0000
,,,,
R-squared,0.892487,    Mean dependent var,,0.877578
Adjusted R-squared,0.891179,    S.D. dependent var,,4.809198
S.E. of regression,1.586460,    Akaike info criterion,,3.775171
Sum squared resid,1034.427,    Schwarz criterion,,3.833201
